seed,n_clusters,alpha,theoretical,empirical
230,3,0.1,0.9,0.956140350877193
230,3,0.2,0.8,0.8859649122807017
231,3,0.01,0.99,0.9824561403508771
231,3,0.05,0.95,0.9385964912280702
231,3,0.1,0.9,0.8771929824561403
231,3,0.2,0.8,0.7894736842105263
232,3,0.01,0.99,0.9824561403508771
232,3,0.05,0.95,0.9035087719298246
232,3,0.1,0.9,0.8333333333333334
232,3,0.2,0.8,0.7894736842105263
233,3,0.01,0.99,0.9736842105263158
233,3,0.05,0.95,0.9122807017543859
233,3,0.1,0.9,0.8333333333333334
233,3,0.2,0.8,0.7017543859649122
234,3,0.01,0.99,0.9912280701754386
234,3,0.05,0.95,0.956140350877193
234,3,0.1,0.9,0.9298245614035088
234,3,0.2,0.8,0.8245614035087719
235,3,0.01,0.99,1.0
235,3,0.05,0.95,0.956140350877193
235,3,0.1,0.9,0.9298245614035088
235,3,0.2,0.8,0.7894736842105263
236,3,0.01,0.99,1.0
236,3,0.05,0.95,0.956140350877193
236,3,0.1,0.9,0.868421052631579
236,3,0.2,0.8,0.7719298245614035
237,3,0.01,0.99,1.0
237,3,0.05,0.95,0.9649122807017544
237,3,0.1,0.9,0.9122807017543859
237,3,0.2,0.8,0.8771929824561403
238,3,0.01,0.99,1.0
238,3,0.05,0.95,0.9824561403508771
238,3,0.1,0.9,0.9649122807017544
238,3,0.2,0.8,0.8508771929824561
239,3,0.01,0.99,0.9912280701754386
239,3,0.05,0.95,0.9824561403508771
239,3,0.1,0.9,0.9649122807017544
239,3,0.2,0.8,0.8333333333333334
240,3,0.01,0.99,0.9912280701754386
240,3,0.05,0.95,0.9736842105263158
240,3,0.1,0.9,0.9122807017543859
240,3,0.2,0.8,0.7719298245614035
241,3,0.01,0.99,1.0
241,3,0.05,0.95,0.9298245614035088
241,3,0.1,0.9,0.8859649122807017
241,3,0.2,0.8,0.7456140350877193
242,3,0.01,0.99,1.0
242,3,0.05,0.95,0.956140350877193
242,3,0.1,0.9,0.956140350877193
242,3,0.2,0.8,0.8157894736842105
243,3,0.01,0.99,1.0
243,3,0.05,0.95,0.9824561403508771
243,3,0.1,0.9,0.9122807017543859
243,3,0.2,0.8,0.7719298245614035
244,3,0.01,0.99,0.9912280701754386
244,3,0.05,0.95,0.9385964912280702
244,3,0.1,0.9,0.8421052631578947
244,3,0.2,0.8,0.7192982456140351
245,3,0.01,0.99,0.9824561403508771
245,3,0.05,0.95,0.9824561403508771
245,3,0.1,0.9,0.9122807017543859
245,3,0.2,0.8,0.868421052631579
246,3,0.01,0.99,0.9912280701754386
246,3,0.05,0.95,0.9736842105263158
246,3,0.1,0.9,0.8157894736842105
246,3,0.2,0.8,0.7807017543859649
247,3,0.01,0.99,1.0
247,3,0.05,0.95,0.9035087719298246
247,3,0.1,0.9,0.8508771929824561
247,3,0.2,0.8,0.7368421052631579
248,3,0.01,0.99,0.9912280701754386
248,3,0.05,0.95,0.9736842105263158
248,3,0.1,0.9,0.8947368421052632
248,3,0.2,0.8,0.7894736842105263
249,3,0.01,0.99,1.0
249,3,0.05,0.95,0.9736842105263158
249,3,0.1,0.9,0.9473684210526315
249,3,0.2,0.8,0.8508771929824561
250,3,0.01,0.99,1.0
250,3,0.05,0.95,0.9649122807017544
250,3,0.1,0.9,0.9473684210526315
250,3,0.2,0.8,0.8859649122807017
251,3,0.01,0.99,0.9736842105263158
251,3,0.05,0.95,0.9473684210526315
251,3,0.1,0.9,0.9035087719298246
251,3,0.2,0.8,0.7456140350877193
252,3,0.01,0.99,0.9912280701754386
252,3,0.05,0.95,0.956140350877193
252,3,0.1,0.9,0.9298245614035088
252,3,0.2,0.8,0.8421052631578947
253,3,0.01,0.99,0.9912280701754386
253,3,0.05,0.95,0.9649122807017544
253,3,0.1,0.9,0.9298245614035088
253,3,0.2,0.8,0.868421052631579
254,3,0.01,0.99,1.0
254,3,0.05,0.95,0.9385964912280702
254,3,0.1,0.9,0.9035087719298246
254,3,0.2,0.8,0.8333333333333334
