seed,alpha,theoretical,empirical
148,0.5,0.5,0.5087719298245614
149,0.01,0.99,1.0
149,0.05,0.95,0.9736842105263158
149,0.1,0.9,0.8333333333333334
149,0.2,0.8,0.7017543859649122
149,0.5,0.5,0.4473684210526316
150,0.01,0.99,0.9912280701754386
150,0.05,0.95,0.9385964912280702
150,0.1,0.9,0.9035087719298246
150,0.2,0.8,0.7719298245614035
150,0.5,0.5,0.5263157894736842
151,0.01,0.99,1.0
151,0.05,0.95,0.9824561403508771
151,0.1,0.9,0.9035087719298246
151,0.2,0.8,0.7982456140350878
151,0.5,0.5,0.5087719298245614
152,0.01,0.99,1.0
152,0.05,0.95,1.0
152,0.1,0.9,0.9298245614035088
152,0.2,0.8,0.8508771929824561
152,0.5,0.5,0.5789473684210527
153,0.01,0.99,1.0
153,0.05,0.95,0.956140350877193
153,0.1,0.9,0.8947368421052632
153,0.2,0.8,0.8157894736842105
153,0.5,0.5,0.5087719298245614
154,0.01,0.99,1.0
154,0.05,0.95,1.0
154,0.1,0.9,0.9385964912280702
154,0.2,0.8,0.8333333333333334
154,0.5,0.5,0.47368421052631576
155,0.01,0.99,1.0
155,0.05,0.95,0.9736842105263158
155,0.1,0.9,0.8771929824561403
155,0.2,0.8,0.8070175438596491
155,0.5,0.5,0.5175438596491229
156,0.01,0.99,1.0
156,0.05,0.95,0.9736842105263158
156,0.1,0.9,0.9035087719298246
156,0.2,0.8,0.8596491228070176
156,0.5,0.5,0.6140350877192983
157,0.01,0.99,1.0
157,0.05,0.95,0.9649122807017544
157,0.1,0.9,0.9210526315789473
157,0.2,0.8,0.7982456140350878
157,0.5,0.5,0.4824561403508772
158,0.01,0.99,0.9912280701754386
158,0.05,0.95,0.9473684210526315
158,0.1,0.9,0.8947368421052632
158,0.2,0.8,0.7543859649122807
158,0.5,0.5,0.49122807017543857
159,0.01,0.99,1.0
159,0.05,0.95,0.9824561403508771
159,0.1,0.9,0.9035087719298246
159,0.2,0.8,0.8070175438596491
